"country","year","mean","sd","q10","q90"
"Armenia",2004,0.34933162565,0.120490794146347,0.2008309,0.5174628
"Armenia",2005,0.353963325,0.113380849598415,0.2137368,0.5070779
"Armenia",2006,0.3555126049,0.0993560755503775,0.2321145,0.4873108
"Armenia",2007,0.362453871,0.0821357398889783,0.2614419,0.4711207
"Armenia",2008,0.364767024,0.0483348535021568,0.3023915,0.4281598
"Armenia",2009,0.340109671,0.0701656446278076,0.2517322,0.4324188
"Armenia",2010,0.315233458,0.066220226989497,0.2348822,0.4028753
"Armenia",2011,0.2878753045,0.0421611941558005,0.2335538,0.3447327
"Armenia",2012,0.290864664,0.0720706290389514,0.2000095,0.3854415
"Armenia",2013,0.29242726955,0.0895776070459113,0.1839385,0.4155736
"Armenia",2014,0.29188741945,0.0945089338326305,0.1777726,0.419575
"Armenia",2015,0.29101325025,0.0933016314227051,0.1767093,0.4165464
"Armenia",2016,0.2898283498,0.0885304675098532,0.180638,0.4054138
"Armenia",2017,0.28688707885,0.0703545411096214,0.2006252,0.3794584
"Armenia",2018,0.2833651725,0.0385168754779647,0.2346601,0.3337321
"Armenia",2019,0.302373799,0.065833631672962,0.223247,0.3914989
"Armenia",2020,0.3208909155,0.067929988917786,0.2365462,0.4103059
"Armenia",2021,0.3415865985,0.0469584722260339,0.2837492,0.4024522
"Australia",1993,0.4553729005,0.0242294904356238,0.4252112,0.4874383
"Australia",1994,0.441581809,0.064670605617885,0.3592984,0.5242981
"Australia",1995,0.4244999645,0.0346895309725829,0.3816059,0.46788
"Australia",1996,0.5253035795,0.0359284353366877,0.4797765,0.5731148
"Australia",1997,0.4877585175,0.0693263682227995,0.3979921,0.5769157
"Australia",1998,0.449064666,0.0425042248166,0.3955219,0.5010239
"Australia",1999,0.453259301,0.0758244377445295,0.3569262,0.5524552
"Australia",2000,0.4563900865,0.0764591151931088,0.3587102,0.5544638
"Australia",2001,0.4600568595,0.0416986424769916,0.4065009,0.5131132
"Australia",2002,0.4817468115,0.0785010907277899,0.3784364,0.585435
"Australia",2003,0.5037539155,0.0778402427803537,0.4026146,0.6017418
"Australia",2004,0.5244137705,0.041700042500915,0.4720312,0.5782986
"Australia",2005,0.503017018,0.0305367546262734,0.4627637,0.5431734
"Australia",2006,0.5292821115,0.0637620016932501,0.4460589,0.6122903
"Australia",2007,0.5544907925,0.0386346474823245,0.5052873,0.6032317
"Australia",2008,0.5285460555,0.0736210342591647,0.432992,0.6233797
"Australia",2009,0.5035937315,0.0722655556092331,0.4123593,0.5958411
"Australia",2010,0.4752657535,0.0411090248068721,0.421931,0.5294963
"Australia",2011,0.4407366945,0.0639330083355271,0.3568441,0.523602
"Australia",2012,0.406218613,0.0305957666210179,0.3673629,0.4443858
"Australia",2013,0.4671386445,0.0370341077645604,0.4169576,0.5135223
"Australia",2014,0.478978252,0.0435779284469026,0.423197,0.5353345
"Australia",2015,0.453656401,0.0656062702439398,0.3717535,0.5393552
"Australia",2016,0.4316782385,0.0358382892195863,0.3861482,0.4782097
"Australia",2017,0.4742185435,0.0673093356689486,0.3908476,0.5607131
"Australia",2018,0.5204845135,0.0284962225503072,0.4838516,0.5567267
"Australia",2019,0.384558256,0.0405561327907375,0.3323221,0.4352513
"Austria",1990,0.454721066,0.0390180382461104,0.404446,0.5038461
"Austria",1991,0.4809977935,0.0715556216446572,0.3891211,0.5758276
"Austria",1992,0.5089829355,0.0727888736518988,0.4130422,0.6022772
"Austria",1993,0.534460198,0.0284217764102097,0.4988337,0.5710967
"Austria",1994,0.5345014,0.0776992405554034,0.4345917,0.6337696
"Austria",1995,0.532319236,0.0908076601599621,0.4130173,0.6491133
"Austria",1996,0.5319285605,0.0866805756876943,0.4183882,0.6441755
"Austria",1997,0.5327586075,0.0608174855263626,0.4557647,0.6086776
"Austria",1998,0.512837971,0.071974888579505,0.4193586,0.6008934
"Austria",1999,0.4929842635,0.034148946814907,0.4490933,0.5377493
"Austria",2000,0.5165535705,0.0490760057000951,0.4545221,0.5798274
"Austria",2001,0.5013693745,0.0319051321141264,0.4605488,0.5420535
"Austria",2002,0.530290957,0.0548836429196825,0.4590264,0.6022095
"Austria",2003,0.521251184,0.0722334819573581,0.4299958,0.6140771
"Austria",2004,0.507171506,0.0559179424323615,0.4352394,0.5793203
"Austria",2005,0.4780481385,0.0738503860976347,0.3835046,0.5726187
"Austria",2006,0.4522396955,0.06213116605316,0.3750271,0.5328391
"Austria",2007,0.468553157,0.0574534772257347,0.3945982,0.5416528
"Austria",2008,0.4308373005,0.0351598932665965,0.3875139,0.4765864
"Austria",2009,0.4733153065,0.0493512582738694,0.4104046,0.5360144
"Austria",2010,0.477755395,0.0497940163232569,0.4137334,0.5419176
"Austria",2011,0.53541446,0.0578198648697849,0.4599867,0.6088495
"Austria",2012,0.530696109,0.0560038999316377,0.45816,0.6020093
"Austria",2013,0.521969526,0.0586412720307295,0.4449214,0.5954309
"Austria",2014,0.4482616675,0.0620061198220033,0.3663789,0.5280119
"Austria",2015,0.57045419,0.0611759795087282,0.4918316,0.6446034
"Austria",2016,0.5984452145,0.0471748719714029,0.5342566,0.6561757
"Austria",2017,0.576105571,0.0541296568899847,0.5051315,0.6452659
"Austria",2018,0.5778960295,0.0346354938314456,0.5331862,0.6221324
"Austria",2019,0.543792926,0.0566645811746754,0.4712592,0.6163319
"Austria",2020,0.5144286075,0.0598627629062745,0.4372131,0.5925815
"Austria",2021,0.37445858,0.0569459653654611,0.3025702,0.4494599
"Austria",2022,0.439044215,0.0651675510206252,0.3561702,0.5240942
"Azerbaijan",1997,0.4144498935,0.0489734539885124,0.3513313,0.4759485
"Azerbaijan",1998,0.4357367735,0.0891710884352746,0.3231201,0.5480785
"Azerbaijan",1999,0.452281429,0.113422217076216,0.307663,0.6054717
"Azerbaijan",2000,0.469355895,0.126319274498352,0.3024552,0.6403501
"Azerbaijan",2001,0.485616553,0.139385719606301,0.3025161,0.6731719
"Azerbaijan",2002,0.50189291165,0.145340331852155,0.3045518,0.6898742
"Azerbaijan",2003,0.5158561252,0.147741270409326,0.3185301,0.7040676
"Azerbaijan",2004,0.53204700135,0.150513051399787,0.3289072,0.7290724
"Azerbaijan",2005,0.546859374,0.146509244956422,0.3560691,0.7425227
"Azerbaijan",2006,0.563644797,0.139317812528203,0.3777646,0.7463092
"Azerbaijan",2007,0.5807513405,0.132982353558269,0.4065085,0.7523182
"Azerbaijan",2008,0.598665585,0.123232235363943,0.4363583,0.7548838
"Azerbaijan",2009,0.614796816,0.107814125609544,0.4735109,0.7497607
"Azerbaijan",2010,0.6327855395,0.0865566928190034,0.5207912,0.7428649
"Azerbaijan",2011,0.6523751935,0.0474460019280607,0.5909344,0.7112419
"Azerbaijan",2012,0.671529053,0.0777283509188409,0.565139,0.7676731
"Azerbaijan",2013,0.689986859,0.0898327642070958,0.5709231,0.8007999
"Azerbaijan",2014,0.707144082,0.0953602313375533,0.5780346,0.8264681
"Azerbaijan",2015,0.7255407735,0.0896192845088608,0.6042365,0.8336325
"Azerbaijan",2016,0.745552369,0.0781003648010806,0.6365958,0.8385291
"Azerbaijan",2017,0.764015179,0.0632447610509215,0.6773279,0.8409798
"Azerbaijan",2018,0.782458369,0.0345315965538971,0.736133,0.8242165
"Bangladesh",1996,0.8771417755,0.0251352578626918,0.8450051,0.9080601
"Bangladesh",1997,0.8938901,0.0363058908341143,0.8438054,0.9375795
"Bangladesh",1998,0.909704909,0.0369315448476249,0.8619016,0.9504063
"Bangladesh",1999,0.9233242895,0.0338449504611626,0.8785225,0.9600493
"Bangladesh",2000,0.9367217505,0.02766322173601,0.8988051,0.9670959
"Bangladesh",2001,0.949091287,0.0188653348403613,0.923177,0.9707652
"Bangladesh",2002,0.9593670625,0.0100775920395823,0.9466213,0.9716801
"Bangladesh",2003,0.9365000135,0.0204444854444141,0.9101559,0.960783
"Bangladesh",2004,0.9042966705,0.0301644119448385,0.8630417,0.9404794
"Bangladesh",2005,0.861302898,0.0275704872845612,0.8238299,0.8955438
"Bangladesh",2006,0.8254632765,0.0547428653125169,0.7548628,0.8897843
"Bangladesh",2007,0.785834725,0.0779070660288204,0.683282,0.8781124
"Bangladesh",2008,0.7457950805,0.0933513243155112,0.6134425,0.8548693
"Bangladesh",2009,0.7003553725,0.106764557193715,0.5559755,0.8265582
"Bangladesh",2010,0.65284431,0.107655893665402,0.5136041,0.7875652
"Bangladesh",2011,0.600826575,0.102833049392168,0.4647635,0.7328989
"Bangladesh",2012,0.545209608,0.0874765038431272,0.4305997,0.6596533
"Bangladesh",2013,0.4873147075,0.0515451513954041,0.4194264,0.5549178
"Bangladesh",2014,0.5476637,0.0823207714141765,0.4412648,0.6540451
"Bangladesh",2015,0.605426811,0.0916154151755052,0.4877746,0.7186798
"Bangladesh",2016,0.65702826,0.0857151735890158,0.5433441,0.7632248
"Bangladesh",2017,0.7091991265,0.0713617762488237,0.6147078,0.7994825
"Bangladesh",2018,0.7585501865,0.0365757364852635,0.7106629,0.805094
"Belarus",1990,0.198950757,0.0304671552812601,0.1600644,0.2372196
"Belarus",1991,0.239087622,0.0626506902065155,0.1620088,0.3213521
"Belarus",1992,0.28263454805,0.081952368319479,0.1807819,0.390359
"Belarus",1993,0.32722900565,0.0924404953130803,0.2129838,0.4549989
"Belarus",1994,0.374614054,0.0939318123011165,0.2558645,0.4995061
"Belarus",1995,0.4223408405,0.0838608799818707,0.314926,0.5325968
"Belarus",1996,0.472689067,0.0432881090310867,0.4174091,0.5288334
"Belarus",1997,0.401767437,0.0761503849614756,0.304103,0.5029474
"Belarus",1998,0.336103965,0.0797678923379752,0.2349006,0.4426866
"Belarus",1999,0.2733979457,0.0653927473281433,0.1929437,0.3607059
"Belarus",2000,0.2179393245,0.0321628479897164,0.1763525,0.2604276
"Belarus",2001,0.24120893145,0.0636521047128376,0.1653854,0.3247106
"Belarus",2002,0.2628246272,0.0838207020649265,0.1600123,0.3764197
"Belarus",2003,0.286208237,0.0968430969415889,0.1706974,0.4105301
"Belarus",2004,0.3086145913,0.100593331646992,0.1844959,0.4413191
"Belarus",2005,0.3298788495,0.100234107908531,0.2053687,0.4679637
"Belarus",2006,0.3526757845,0.0969614214151665,0.2332461,0.4827379
"Belarus",2007,0.376433774,0.079425331965802,0.2796116,0.4832757
"Belarus",2008,0.3990500935,0.041257090326244,0.3462547,0.4527117
"Belarus",2009,0.477759831,0.074286566194339,0.3847654,0.5740437
"Belarus",2010,0.556469119,0.073598431109948,0.4589884,0.65322
"Belarus",2011,0.631443435,0.040683771179433,0.5804282,0.6833522
"Belarus",2012,0.586450345,0.082308787381373,0.4772663,0.6896359
"Belarus",2013,0.5420968825,0.0969451459500388,0.415196,0.6678239
"Belarus",2014,0.495139974,0.107535656486169,0.3547548,0.6333133
"Belarus",2015,0.449433229,0.10861643030487,0.3078223,0.5907757
"Belarus",2016,0.402663238,0.0992870387592668,0.2752932,0.5347475
"Belarus",2017,0.3590677135,0.0818663568963842,0.2544723,0.4673053
"Belarus",2018,0.3153550795,0.0397926293446193,0.2655506,0.3675472
"Belgium",1990,0.3986511225,0.0405952687808221,0.3446686,0.4509481
